label_a,label_b,feature,mean_a,mean_b,std_a,std_b,difference,abs_difference,cohens_d,abs_cohens_d
Scream,cold,jitter_local,0.04667572655787845,0.0058241229370957,0.006536621217503015,1.8236030636931973e-05,0.04085160362078275,0.04085160362078275,8.838307305463221,8.838307305463221
Scream,cold,shimmer_local,0.21420420546457614,0.036624280626680106,0.02572345243001707,0.001670721776469615,0.17757992483789603,0.17757992483789603,9.74239015682922,9.74239015682922
Scream,cold,hnr_db,0.7107512556390623,19.68861281690484,0.16680859354967298,0.5487651952994942,-18.977861561265776,18.977861561265776,-46.79346616063966,46.79346616063966
Scream,cold,cpps_db,5.1460419874464165,8.494096172924998,0.923099027111598,0.3459276449128511,-3.3480541854785812,3.3480541854785812,-4.803126230815208,4.803126230815208
Scream,cold,sample_entropy,1.0409957625696826,0.2172870979940477,0.3179109989074559,0.06197047910643578,0.823708664575635,0.823708664575635,3.596539705988044,3.596539705988044
Scream,cold,spectral_entropy,12.456781143107023,6.178877708275933,0.5299860350391851,0.6368882563926288,6.27790343483109,6.27790343483109,10.715331478797799,10.715331478797799
Scream,cold,f0_mean_hz,426.2249975744503,203.1775700911874,201.95430660218844,0.6816920493684626,223.0474274832629,223.0474274832629,1.561912223134247,1.561912223134247
Scream,cold,f0_std_hz,5.579737188085294,4.169013654243258,4.172705529246134,1.7982606563817056,1.4107235338420354,1.4107235338420354,0.4390836109299438,0.4390836109299438
Scream,cold,f0_min_hz,411.01211477147285,192.63380805814995,189.2634710277148,1.5735729915297296,218.3783067133229,218.3783067133229,1.6317088964636766,1.6317088964636766
Scream,cold,f0_max_hz,436.2832748026043,232.41065433455438,208.82771280821487,0.9492575129377036,203.87262046804992,203.87262046804992,1.380642646849862,1.380642646849862
Scream,cold,f0_voiced_ratio,0.1467719721830207,0.8822951009312279,0.11097439361549441,0.04629792794858986,-0.7355231287482071,0.7355231287482071,-8.650575354695437,8.650575354695437
Scream,cold,alpha_ratio_db,-8.758194719606701,16.32585485621317,3.726623319109101,0.0906547765346527,-25.08404957581987,25.08404957581987,-9.516312357324738,9.516312357324738
Scream,cold,spectral_flux_mean,0.05104205571115015,0.023503101430833298,0.016517394712445944,0.002815052549404358,0.02753895428031685,0.02753895428031685,2.324360308569338,2.324360308569338
Scream,cold,spectral_flux_std,0.00986322691477335,0.0150006512936007,0.0002609047472869298,0.0038151805372892995,-0.0051374243788273495,0.0051374243788273495,-1.8999063501319067,1.8999063501319067
Scream,cold,spectral_slope_db_per_hz,-0.0030522226312039,-0.0019983942239366996,0.0003172847975516887,1.777916518111195e-05,-0.0010538284072672006,0.0010538284072672006,-4.689805913332771,4.689805913332771
Scream,cold,spectral_centroid_mean_hz,2920.4520884838735,2800.221861458488,1679.5916764433803,492.10289648168646,120.23022702538537,120.23022702538537,0.09714969733672132,0.09714969733672132
Scream,cold,spectral_centroid_std_hz,364.1374508493168,531.4663993738222,252.15372954352912,279.171317213002,-167.32894852450545,167.32894852450545,-0.6290425783748507,0.6290425783748507
Scream,cold,mfcc_1_mean,-219.8958740234375,-481.78785705566406,75.19712045414579,37.5386995638951,261.89198303222656,261.89198303222656,4.406758055255035,4.406758055255035
Scream,cold,mfcc_2_mean,169.42352294921875,133.83209991455078,65.36687312681231,11.771996470952818,35.59142303466797,35.59142303466797,0.757829901265898,0.757829901265898
Scream,cold,mfcc_3_mean,-101.48976516723633,-5.751366376876831,19.107209709204064,2.1958565393889766,-95.7383987903595,95.7383987903595,-7.039709477212007,7.039709477212007
Scream,cold,mfcc_4_mean,-24.319016456604004,29.86565399169922,49.55513831531699,4.908488063837184,-54.18467044830322,54.18467044830322,-1.5388017427905256,1.5388017427905256
Scream,cold,mfcc_5_mean,-41.39676523208618,-39.37749099731445,39.669225453519054,8.62608556574377,-2.0192742347717285,2.0192742347717285,-0.07034353898749506,0.07034353898749506
Scream,cold,mfcc_6_mean,-11.716188430786133,29.12728500366211,48.606181453432136,0.5109357920791376,-40.84347343444824,40.84347343444824,-1.188289254135242,1.188289254135242
Scream,cold,mfcc_7_mean,-4.961105823516845,-6.865737438201904,26.869215422468166,1.6297741248442448,1.9046316146850595,1.9046316146850595,0.10006300821172422,0.10006300821172422
Scream,cold,mfcc_8_mean,27.847543716430664,37.19442272186279,12.042618350668176,9.515354397942277,-9.346879005432129,9.346879005432129,-0.861241081785745,0.861241081785745
Scream,cold,mfcc_9_mean,-25.914862632751465,8.70104718208313,4.128811827360212,6.35257902135747,-34.615909814834595,34.615909814834595,-6.461389512896786,6.461389512896786
Scream,cold,mfcc_10_mean,-11.769207954406738,-13.62798547744751,2.686104297995451,1.2490242158438625,1.8587775230407715,1.8587775230407715,0.8873878089756349,0.8873878089756349
Scream,cold,mfcc_11_mean,7.424710988998413,0.1598198413848878,8.618303908809501,1.7657548624184587,7.264891147613525,7.264891147613525,1.167866285526563,1.167866285526563
Scream,cold,mfcc_12_mean,-13.599610805511475,0.8205314204096792,0.053237875990232816,1.4997946875662087,-14.420142225921154,14.420142225921154,-13.588743245009853,13.588743245009853
Scream,cold,mfcc_13_mean,-13.55201244354248,4.038214206695557,2.9719422015476056,2.7848654908244823,-17.590226650238037,17.590226650238037,-6.107880284099656,6.107880284099656
Scream,cold,mfcc_1_std,48.977046966552734,75.60947036743164,9.338668065488852,9.472599286113674,-26.632423400878906,26.632423400878906,-2.8314677498152627,2.8314677498152627
Scream,cold,mfcc_2_std,17.65632915496826,15.961593627929688,1.8233212197507604,8.703204183275059,1.6947355270385742,1.6947355270385742,0.26953200317657405,0.26953200317657405
Scream,cold,mfcc_3_std,23.341331005096436,12.04234790802002,15.621189920901934,2.3405918517484796,11.298983097076416,11.298983097076416,1.0116240134726895,1.0116240134726895
Scream,cold,mfcc_4_std,10.961939334869385,9.28045129776001,2.749102709751229,0.2098299397728204,1.681488037109375,1.681488037109375,0.8624947012428814,0.8624947012428814
Scream,cold,mfcc_5_std,14.889410018920898,18.21914577484131,2.0463245784941457,1.1066764381588035,-3.32973575592041,3.32973575592041,-2.0241317219555977,2.0241317219555977
Scream,cold,mfcc_6_std,9.288090944290161,8.690972328186035,2.7535173392516556,0.7714073619739198,0.597118616104126,0.597118616104126,0.2953116276352619,0.2953116276352619
Scream,cold,mfcc_7_std,8.86314082145691,7.651315450668335,1.891055925754801,0.27508775978357214,1.2118253707885742,1.2118253707885742,0.8968164805797917,0.8968164805797917
Scream,cold,mfcc_8_std,8.068250179290771,9.049815654754639,2.3613881183281187,0.5378591989078968,-0.9815654754638672,0.9815654754638672,-0.5731703793213355,0.5731703793213355
Scream,cold,mfcc_9_std,7.9992454051971436,5.836207151412964,2.3675027831100794,1.5468813890669588,2.1630382537841797,2.1630382537841797,1.0816603292959444,1.0816603292959444
Scream,cold,mfcc_10_std,8.047422170639038,7.140035629272461,4.815270361699094,2.0898524949370447,0.9073865413665771,0.9073865413665771,0.2444626664957919,0.2444626664957919
Scream,cold,mfcc_11_std,5.913612365722656,4.002268671989441,2.0981604817155124,0.35443898017418435,1.9113436937332153,1.9113436937332153,1.2702966755941687,1.2702966755941687
Scream,cold,mfcc_12_std,9.678184747695923,5.068881392478943,5.7905720384763475,1.5909472678842513,4.60930335521698,4.60930335521698,1.085491337272745,1.085491337272745
Scream,cold,mfcc_13_std,7.5244622230529785,5.307478666305542,2.8888751464048785,0.530482151719338,2.2169835567474365,2.2169835567474365,1.0674493959887754,1.0674493959887754
Scream,fatigue,jitter_local,0.04667572655787845,0.008154275642065367,0.006536621217503015,0.002726610708536527,0.038521450915813084,0.038521450915813084,10.556170002595335,10.556170002595335
Scream,fatigue,shimmer_local,0.21420420546457614,0.07026369454771246,0.02572345243001707,0.02932685120131518,0.14394051091686366,0.14394051091686366,5.005293407195431,5.005293407195431
Scream,fatigue,hnr_db,0.7107512556390623,12.69393424784037,0.16680859354967298,3.6850484729836688,-11.983182992201307,11.983182992201307,-3.5614810593392305,3.5614810593392305
Scream,fatigue,cpps_db,5.1460419874464165,10.18374704727126,0.923099027111598,1.0826370175055355,-5.037705059824843,5.037705059824843,-4.762797590494115,4.762797590494115
Scream,fatigue,sample_entropy,1.0409957625696826,0.3930427524685814,0.3179109989074559,0.2276035918067951,0.6479530101011013,0.6479530101011013,2.644947138251125,2.644947138251125
Scream,fatigue,spectral_entropy,12.456781143107023,10.383428669028337,0.5299860350391851,0.9302152027712122,2.0733524740786855,2.0733524740786855,2.36603642855552,2.36603642855552
Scream,fatigue,f0_mean_hz,426.2249975744503,199.19295320064518,201.95430660218844,23.37384680201305,227.03204437380512,227.03204437380512,2.665828371405913,2.665828371405913
Scream,fatigue,f0_std_hz,5.579737188085294,30.889818602722347,4.172705529246134,23.299241642207377,-25.310081414637054,25.310081414637054,-1.1861889557240857,1.1861889557240857
Scream,fatigue,f0_min_hz,411.01211477147285,144.01329047337447,189.2634710277148,54.19180665077611,266.9988242980984,266.9988242980984,2.9101828421860234,2.9101828421860234
Scream,fatigue,f0_max_hz,436.2832748026043,253.5780211603075,208.82771280821487,30.10541631191664,182.7052536422968,182.7052536422968,2.0397196836201212,2.0397196836201212
Scream,fatigue,f0_voiced_ratio,0.1467719721830207,0.8496355593599412,0.11097439361549441,0.08177222145660397,-0.7028635871769204,0.7028635871769204,-8.049276210003615,8.049276210003615
Scream,fatigue,alpha_ratio_db,-8.758194719606701,4.799595031541518,3.726623319109101,3.8025615005812865,-13.557789751148219,13.557789751148219,-3.5772430386344327,3.5772430386344327
Scream,fatigue,spectral_flux_mean,0.05104205571115015,0.029227530894180082,0.016517394712445944,0.00564163341643682,0.021814524816970066,0.021814524816970066,2.5709721434228165,2.5709721434228165
Scream,fatigue,spectral_flux_std,0.00986322691477335,0.011195249609253234,0.0002609047472869298,0.0032371324476195254,-0.0013320226944798837,0.0013320226944798837,-0.45046374765024505,0.45046374765024505
Scream,fatigue,spectral_slope_db_per_hz,-0.0030522226312039,-0.0024917223582325166,0.0003172847975516887,0.00016980487863719738,-0.0005605002729713836,0.0005605002729713836,-2.774673775814358,2.774673775814358
Scream,fatigue,spectral_centroid_mean_hz,2920.4520884838735,2300.9205033930284,1679.5916764433803,910.2904647007133,619.531585090845,619.531585090845,0.5750483187784683,0.5750483187784683
Scream,fatigue,spectral_centroid_std_hz,364.1374508493168,410.5343482119693,252.15372954352912,200.44502039588517,-46.39689736265251,46.39689736265251,-0.22099084182311873,0.22099084182311873
Scream,fatigue,mfcc_1_mean,-219.8958740234375,-474.8296610514323,75.19712045414579,56.28836838454641,254.9337870279948,254.9337870279948,4.25911193627273,4.25911193627273
Scream,fatigue,mfcc_2_mean,169.42352294921875,182.83150736490884,65.36687312681231,45.073420063275364,-13.407984415690095,13.407984415690095,-0.273396217752268,0.273396217752268
Scream,fatigue,mfcc_3_mean,-101.48976516723633,-48.678802808125816,19.107209709204064,25.42164998924612,-52.81096235911051,52.81096235911051,-2.1570812460116744,2.1570812460116744
Scream,fatigue,mfcc_4_mean,-24.319016456604004,3.4482768376668296,49.55513831531699,28.456496589421377,-27.767293294270832,27.767293294270832,-0.8433343420680072,0.8433343420680072
Scream,fatigue,mfcc_5_mean,-41.39676523208618,-25.15061941742897,39.669225453519054,22.1483954837196,-16.24614581465721,16.24614581465721,-0.6271439938541287,0.6271439938541287
Scream,fatigue,mfcc_6_mean,-11.716188430786133,-15.843696594238281,48.606181453432136,34.264015377730466,4.127508163452148,4.127508163452148,0.11142768053668507,0.11142768053668507
Scream,fatigue,mfcc_7_mean,-4.961105823516845,-1.2449811299641924,26.869215422468166,16.53925478882125,-3.7161246935526524,3.7161246935526524,-0.1991246497766709,0.1991246497766709
Scream,fatigue,mfcc_8_mean,27.847543716430664,30.820935408274334,12.042618350668176,12.212519849122907,-2.97339169184367,2.97339169184367,-0.24403332402487105,0.24403332402487105
Scream,fatigue,mfcc_9_mean,-25.914862632751465,-14.693161646525065,4.128811827360212,4.65110114995178,-11.2217009862264,11.2217009862264,-2.456481106127435,2.456481106127435
Scream,fatigue,mfcc_10_mean,-11.769207954406738,-11.17012063662211,2.686104297995451,4.800268474509689,-0.5990873177846279,0.5990873177846279,-0.13262496940700524,0.13262496940700524
Scream,fatigue,mfcc_11_mean,7.424710988998413,-4.938218871752421,8.618303908809501,6.5718563903283345,12.362929860750835,12.362929860750835,1.7775921811662878,1.7775921811662878
Scream,fatigue,mfcc_12_mean,-13.599610805511475,-0.08513838052749634,0.053237875990232816,6.314159930684381,-13.514472424983978,13.514472424983978,-2.3446123821516807,2.3446123821516807
Scream,fatigue,mfcc_13_mean,-13.55201244354248,0.7327908277511597,2.9719422015476056,4.766270362959869,-14.28480327129364,14.28480327129364,-3.1624617872244136,3.1624617872244136
Scream,fatigue,mfcc_1_std,48.977046966552734,63.63781134287516,9.338668065488852,23.482070748212884,-14.660764376322426,14.660764376322426,-0.6733617387299732,0.6733617387299732
Scream,fatigue,mfcc_2_std,17.65632915496826,24.212305704752605,1.8233212197507604,11.162595284679877,-6.555976549784344,6.555976549784344,-0.6416632861978117,0.6416632861978117
Scream,fatigue,mfcc_3_std,23.341331005096436,16.111111640930176,15.621189920901934,4.5380276535838435,7.23021936416626,7.23021936416626,0.9507549358289831,0.9507549358289831
Scream,fatigue,mfcc_4_std,10.961939334869385,7.782267014185588,2.749102709751229,1.5283225476009374,3.179672320683797,3.179672320683797,1.7758076614355047,1.7758076614355047
Scream,fatigue,mfcc_5_std,14.889410018920898,13.630963325500488,2.0463245784941457,8.84284748659059,1.2584466934204102,1.2584466934204102,0.15506722064442205,0.15506722064442205
Scream,fatigue,mfcc_6_std,9.288090944290161,7.767531792322795,2.7535173392516556,4.626612720479647,1.5205591519673662,1.5205591519673662,0.34791125339284107,0.34791125339284107
Scream,fatigue,mfcc_7_std,8.86314082145691,6.608863115310669,1.891055925754801,2.353234417596548,2.2542777061462402,2.2542777061462402,0.9875434899346828,0.9875434899346828
Scream,fatigue,mfcc_8_std,8.068250179290771,7.444841821988423,2.3613881183281187,3.260747888497099,0.6234083573023481,0.6234083573023481,0.19924465494606983,0.19924465494606983
Scream,fatigue,mfcc_9_std,7.9992454051971436,6.569913148880005,2.3675027831100794,1.5814867409194566,1.4293322563171387,1.4293322563171387,0.8227023701306658,0.8227023701306658
Scream,fatigue,mfcc_10_std,8.047422170639038,5.364468415578206,4.815270361699094,1.6846946648431271,2.682953755060832,2.682953755060832,1.0749342249131342,1.0749342249131342
Scream,fatigue,mfcc_11_std,5.913612365722656,4.816935261090596,2.0981604817155124,0.9492609452981745,1.09667710463206,1.09667710463206,0.900057323045812,0.900057323045812
Scream,fatigue,mfcc_12_std,9.678184747695923,4.343783100446065,5.7905720384763475,0.8190283471811293,5.334401647249858,5.334401647249858,2.151482641422056,2.151482641422056
Scream,fatigue,mfcc_13_std,7.5244622230529785,4.49340037504832,2.8888751464048785,0.836615531261852,3.0310618480046587,3.0310618480046587,2.157241284187667,2.157241284187667
Scream,hoarsed,jitter_local,0.04667572655787845,0.021422882518996853,0.006536621217503015,0.015633772857435214,0.0252528440388816,0.0252528440388816,1.6616265633432559,1.6616265633432559
Scream,hoarsed,shimmer_local,0.21420420546457614,0.09773073114554866,0.02572345243001707,0.047552817319787,0.11647347431902748,0.11647347431902748,2.5092299550693835,2.5092299550693835
Scream,hoarsed,hnr_db,0.7107512556390623,9.877943534344203,0.16680859354967298,5.435515029300863,-9.16719227870514,9.16719227870514,-1.745671992623319,1.745671992623319
Scream,hoarsed,cpps_db,5.1460419874464165,9.607261926979723,0.923099027111598,1.7094248306931028,-4.461219939533306,4.461219939533306,-2.673675752458821,2.673675752458821
Scream,hoarsed,sample_entropy,1.0409957625696826,0.5533005855210145,0.3179109989074559,0.33287509299179313,0.48769517704866816,0.48769517704866816,1.4694107095254343,1.4694107095254343
Scream,hoarsed,spectral_entropy,12.456781143107023,10.94388267591737,0.5299860350391851,1.6804373043334462,1.5128984671896522,1.5128984671896522,0.9286065279996496,0.9286065279996496
Scream,hoarsed,f0_mean_hz,426.2249975744503,195.94251529449878,201.95430660218844,38.48454168754062,230.28248227995152,230.28248227995152,3.5958123746307322,3.5958123746307322
Scream,hoarsed,f0_std_hz,5.579737188085294,46.04795486027542,4.172705529246134,47.524433709907015,-40.46821767219012,40.46821767219012,-0.8811689791607304,0.8811689791607304
Scream,hoarsed,f0_min_hz,411.01211477147285,122.99092662948638,189.2634710277148,68.1359130681734,288.0211881419865,288.0211881419865,3.5132251678399435,3.5132251678399435
Scream,hoarsed,f0_max_hz,436.2832748026043,270.1575775263667,208.82771280821487,92.03884214509229,166.1256972762376,166.1256972762376,1.5975343473622245,1.5975343473622245
