feature,difference,abs_difference,relation,label_a,label_b
hnr_db,0.22925961837160647,0.22925961837160647,similar,Scream,wind
mfcc_9_std,0.23735791640207293,0.23735791640207293,similar,Scream,wind
sample_entropy,0.24182918921318697,0.24182918921318697,similar,Scream,wind
f0_std_hz,0.2643108346578363,0.2643108346578363,similar,Scream,wind
cpps_db,0.2722822196607657,0.2722822196607657,similar,Scream,wind
spectral_entropy,0.27330664041374764,0.27330664041374764,similar,Scream,wind
mfcc_12_mean,3.2963647457612364,3.2963647457612364,different,Scream,wind
spectral_centroid_std_hz,3.093464081684362,3.093464081684362,different,Scream,wind
mfcc_4_mean,2.897195564114988,2.897195564114988,different,Scream,wind
mfcc_6_mean,2.5086176826466775,2.5086176826466775,different,Scream,wind
mfcc_5_std,2.4867487218581235,2.4867487218581235,different,Scream,wind
mfcc_7_mean,2.4522247187526713,2.4522247187526713,different,Scream,wind
mfcc_8_std,2.331750509581506,2.331750509581506,different,Scream,wind
mfcc_1_std,2.250979478144132,2.250979478144132,different,Scream,wind
mfcc_2_mean,2.094596094811601,2.094596094811601,different,Scream,wind
mfcc_10_mean,2.0586239730448277,2.0586239730448277,different,Scream,wind
f0_mean_hz,0.0284861430015384,0.0284861430015384,similar,cold,fatigue
mfcc_1_mean,0.08028250872366904,0.08028250872366904,similar,cold,fatigue
jitter_local,0.09716899268199974,0.09716899268199974,similar,cold,fatigue
f0_voiced_ratio,0.1010008980119319,0.1010008980119319,similar,cold,fatigue
mfcc_12_mean,0.11722884179133089,0.11722884179133089,similar,cold,fatigue
f0_max_hz,0.16539566426006214,0.16539566426006214,similar,cold,fatigue
f0_min_hz,0.32574332938142386,0.32574332938142386,similar,cold,fatigue
mfcc_12_std,0.40415844151533875,0.40415844151533875,similar,cold,fatigue
shimmer_local,0.46319704387043403,0.46319704387043403,similar,cold,fatigue
sample_entropy,0.5311834632079037,0.5311834632079037,similar,cold,fatigue
mfcc_2_mean,2.4549268450076864,2.4549268450076864,different,cold,fatigue
mfcc_6_mean,2.3070624693768447,2.3070624693768447,different,cold,fatigue
mfcc_9_mean,2.163515837422174,2.163515837422174,different,cold,fatigue
mfcc_10_mean,1.9978535503459804,1.9978535503459804,different,cold,fatigue
mfcc_2_std,1.8604391752178102,1.8604391752178102,different,cold,fatigue
spectral_entropy,1.7207224461876094,1.7207224461876094,different,cold,fatigue
mfcc_5_std,1.7136618252303166,1.7136618252303166,different,cold,fatigue
f0_std_hz,1.7044187121420045,1.7044187121420045,different,cold,fatigue
mfcc_3_mean,1.4891942941859577,1.4891942941859577,different,cold,fatigue
mfcc_8_std,1.4819714649283078,1.4819714649283078,different,cold,fatigue
spectral_centroid_std_hz,0.023044038370241715,0.023044038370241715,similar,cold,hoarsed
f0_mean_hz,0.051723618913434244,0.051723618913434244,similar,cold,hoarsed
f0_max_hz,0.29494350839555644,0.29494350839555644,similar,cold,hoarsed
mfcc_10_mean,0.3195201534639923,0.3195201534639923,similar,cold,hoarsed
spectral_centroid_mean_hz,0.33517551188861217,0.33517551188861217,similar,cold,hoarsed
spectral_flux_std,0.35607456359155715,0.35607456359155715,similar,cold,hoarsed
mfcc_12_mean,0.38060514900478026,0.38060514900478026,similar,cold,hoarsed
cpps_db,0.440535837468089,0.440535837468089,similar,cold,hoarsed
mfcc_5_std,0.4437962198567593,0.4437962198567593,similar,cold,hoarsed
f0_min_hz,0.46658705400931727,0.46658705400931727,similar,cold,hoarsed
f0_std_hz,2.671298681828028,2.671298681828028,different,cold,hoarsed
mfcc_9_std,2.59651556371698,2.59651556371698,different,cold,hoarsed
mfcc_11_std,2.57255602432854,2.57255602432854,different,cold,hoarsed
mfcc_8_mean,2.5601439801931427,2.5601439801931427,different,cold,hoarsed
mfcc_9_mean,2.0351756646403043,2.0351756646403043,different,cold,hoarsed
mfcc_2_std,1.9820852722734124,1.9820852722734124,different,cold,hoarsed
spectral_entropy,1.9500895768781055,1.9500895768781055,different,cold,hoarsed
mfcc_7_std,1.9158799292451185,1.9158799292451185,different,cold,hoarsed
mfcc_2_mean,1.7522507230749673,1.7522507230749673,different,cold,hoarsed
spectral_flux_mean,1.5833938104005465,1.5833938104005465,different,cold,hoarsed
f0_max_hz,0.006283099017457272,0.006283099017457272,similar,cold,normal
mfcc_4_std,0.018581692137872308,0.018581692137872308,similar,cold,normal
f0_mean_hz,0.024295914831157006,0.024295914831157006,similar,cold,normal
hnr_db,0.03913302941420427,0.03913302941420427,similar,cold,normal
jitter_local,0.03919750461195082,0.03919750461195082,similar,cold,normal
spectral_centroid_std_hz,0.04263037475292823,0.04263037475292823,similar,cold,normal
f0_voiced_ratio,0.057277589658632055,0.057277589658632055,similar,cold,normal
f0_min_hz,0.10826711743964751,0.10826711743964751,similar,cold,normal
shimmer_local,0.10976034283030978,0.10976034283030978,similar,cold,normal
f0_std_hz,0.21142549526616194,0.21142549526616194,similar,cold,normal
mfcc_8_mean,3.1314844870513556,3.1314844870513556,different,cold,normal
mfcc_2_std,2.9098850367277294,2.9098850367277294,different,cold,normal
mfcc_5_mean,2.486593029630017,2.486593029630017,different,cold,normal
mfcc_3_std,2.2046678115545957,2.2046678115545957,different,cold,normal
mfcc_11_std,2.0141280273543423,2.0141280273543423,different,cold,normal
mfcc_9_std,1.9365717857348521,1.9365717857348521,different,cold,normal
spectral_flux_std,1.8316468310135874,1.8316468310135874,different,cold,normal
mfcc_7_std,1.73023693002935,1.73023693002935,different,cold,normal
mfcc_2_mean,1.4383778666756306,1.4383778666756306,different,cold,normal
mfcc_8_std,1.3744562636154356,1.3744562636154356,different,cold,normal
mfcc_4_mean,0.05301114321736822,0.05301114321736822,similar,cold,wind
mfcc_2_mean,0.3114247381303712,0.3114247381303712,similar,cold,wind
mfcc_1_std,0.32341189656983377,0.32341189656983377,similar,cold,wind
f0_std_hz,0.35429553359843896,0.35429553359843896,similar,cold,wind
spectral_flux_std,0.3991342162352072,0.3991342162352072,similar,cold,wind
mfcc_6_mean,0.41330107332443267,0.41330107332443267,similar,cold,wind
mfcc_5_mean,0.4549158102481211,0.4549158102481211,similar,cold,wind
mfcc_10_mean,0.5477332145183239,0.5477332145183239,similar,cold,wind
mfcc_1_mean,0.9983132838260892,0.9983132838260892,similar,cold,wind
mfcc_13_mean,1.1679517522287475,1.1679517522287475,similar,cold,wind
spectral_slope_db_per_hz,2.880135592614616,2.880135592614616,different,cold,wind
spectral_entropy,2.842553500815467,2.842553500815467,different,cold,wind
mfcc_11_std,2.8326043067224203,2.8326043067224203,different,cold,wind
sample_entropy,2.73131052301028,2.73131052301028,different,cold,wind
mfcc_3_std,2.7113155667418924,2.7113155667418924,different,cold,wind
mfcc_9_std,2.6771155229810364,2.6771155229810364,different,cold,wind
f0_max_hz,2.655948639710398,2.655948639710398,different,cold,wind
jitter_local,2.6254956716578266,2.6254956716578266,different,cold,wind
mfcc_11_mean,2.5383932806123277,2.5383932806123277,different,cold,wind
f0_mean_hz,2.4784704147859906,2.4784704147859906,different,cold,wind
f0_mean_hz,0.023237475911895844,0.023237475911895844,similar,fatigue,hoarsed
mfcc_13_mean,0.05975060665028725,0.05975060665028725,similar,fatigue,hoarsed
mfcc_6_std,0.06222582256090814,0.06222582256090814,similar,fatigue,hoarsed
mfcc_2_std,0.12164609705560209,0.12164609705560209,similar,fatigue,hoarsed
mfcc_9_mean,0.12834017278187004,0.12834017278187004,similar,fatigue,hoarsed
f0_max_hz,0.1295478441354943,0.1295478441354943,similar,fatigue,hoarsed
f0_min_hz,0.1408437246278934,0.1408437246278934,similar,fatigue,hoarsed
alpha_ratio_db,0.1644179008502808,0.1644179008502808,similar,fatigue,hoarsed
cpps_db,0.22814424027191205,0.22814424027191205,similar,fatigue,hoarsed
spectral_entropy,0.22936713069049613,0.22936713069049613,similar,fatigue,hoarsed
mfcc_7_std,2.5549458426104907,2.5549458426104907,different,fatigue,hoarsed
mfcc_10_mean,2.317373703809973,2.317373703809973,different,fatigue,hoarsed
mfcc_13_std,2.0147908011014297,2.0147908011014297,different,fatigue,hoarsed
mfcc_7_mean,2.010497163229533,2.010497163229533,different,fatigue,hoarsed
mfcc_4_std,1.9729199654884142,1.9729199654884142,different,fatigue,hoarsed
mfcc_12_std,1.891241654434605,1.891241654434605,different,fatigue,hoarsed
mfcc_11_std,1.8702303004906062,1.8702303004906062,different,fatigue,hoarsed
mfcc_9_std,1.7689459240302354,1.7689459240302354,different,fatigue,hoarsed
mfcc_10_std,1.6595723893528247,1.6595723893528247,different,fatigue,hoarsed
mfcc_11_mean,1.4885262811440438,1.4885262811440438,different,fatigue,hoarsed
f0_voiced_ratio,0.04372330835329985,0.04372330835329985,similar,fatigue,normal
f0_mean_hz,0.052782057832695406,0.052782057832695406,similar,fatigue,normal
mfcc_8_std,0.10751520131287229,0.10751520131287229,similar,fatigue,normal
jitter_local,0.13636649729395056,0.13636649729395056,similar,fatigue,normal
f0_max_hz,0.15911256524260486,0.15911256524260486,similar,fatigue,normal
mfcc_6_std,0.16342228099403466,0.16342228099403466,similar,fatigue,normal
f0_min_hz,0.21747621194177635,0.21747621194177635,similar,fatigue,normal
spectral_flux_mean,0.25326940070950166,0.25326940070950166,similar,fatigue,normal
mfcc_13_mean,0.2543024371691302,0.2543024371691302,similar,fatigue,normal
sample_entropy,0.3463430580104835,0.3463430580104835,similar,fatigue,normal
spectral_flux_std,2.751648373879991,2.751648373879991,different,fatigue,normal
mfcc_10_mean,2.3985421538332985,2.3985421538332985,different,fatigue,normal
mfcc_7_std,2.3693028433947223,2.3693028433947223,different,fatigue,normal
mfcc_8_mean,1.8581890642075214,1.8581890642075214,different,fatigue,normal
mfcc_10_std,1.8377204279257127,1.8377204279257127,different,fatigue,normal
mfcc_1_std,1.7275870862550482,1.7275870862550482,different,fatigue,normal
mfcc_7_mean,1.6238793219093552,1.6238793219093552,different,fatigue,normal
mfcc_13_std,1.5259994756517343,1.5259994756517343,different,fatigue,normal
f0_std_hz,1.4929932168758424,1.4929932168758424,different,fatigue,normal
mfcc_12_std,1.4212813977476337,1.4212813977476337,different,fatigue,normal
mfcc_2_std,0.027350241358545357,0.027350241358545357,similar,fatigue,wind
mfcc_3_mean,0.20949937589073891,0.20949937589073891,similar,fatigue,wind
mfcc_13_mean,0.5783243813581883,0.5783243813581883,similar,fatigue,wind
mfcc_1_std,0.833814213496354,0.833814213496354,similar,fatigue,wind
mfcc_9_mean,0.8513319934016039,0.8513319934016039,similar,fatigue,wind
mfcc_8_mean,0.8926664702426335,0.8926664702426335,similar,fatigue,wind
mfcc_1_mean,0.9180307751024201,0.9180307751024201,similar,fatigue,wind
alpha_ratio_db,1.010051535395098,1.010051535395098,similar,fatigue,wind
spectral_entropy,1.1218310546278578,1.1218310546278578,similar,fatigue,wind
spectral_flux_std,1.3191357591016106,1.3191357591016106,similar,fatigue,wind
mfcc_10_std,3.380515638673065,3.380515638673065,different,fatigue,wind
mfcc_11_mean,3.2253389431589623,3.2253389431589623,different,fatigue,wind
mfcc_4_std,3.117071572676103,3.117071572676103,different,fatigue,wind
mfcc_7_mean,3.0755640368426524,3.0755640368426524,different,fatigue,wind
mfcc_5_std,2.9567718914711163,2.9567718914711163,different,fatigue,wind
mfcc_8_std,2.9073819483368593,2.9073819483368593,different,fatigue,wind
spectral_centroid_std_hz,2.8536907720063325,2.8536907720063325,different,fatigue,wind
mfcc_2_mean,2.766351583138058,2.766351583138058,different,fatigue,wind
mfcc_13_std,2.746408901798769,2.746408901798769,different,fatigue,wind
spectral_centroid_mean_hz,2.7215351800443237,2.7215351800443237,different,fatigue,wind
spectral_centroid_std_hz,0.019586336382686517,0.019586336382686517,similar,hoarsed,normal
f0_mean_hz,0.07601953374459125,0.07601953374459125,similar,hoarsed,normal
mfcc_6_mean,0.07683454461409281,0.07683454461409281,similar,hoarsed,normal
