id,path,folder_hint,jitter_local,shimmer_local,hnr_db,cpps_db,f0_mean_hz,f0_std_hz,f0_min_hz,f0_max_hz,f0_voiced_ratio,alpha_ratio_db,spectral_flux_mean,spectral_flux_std,spectral_slope_db_per_hz,spectral_centroid_mean_hz,spectral_centroid_std_hz,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std
cold1,dataset\ไฟล์เสียง\cold\cold1.mp3,cold,0.005811228116170414,0.035442901929062416,19.300577226029407,8.738703956442768,203.65959916197681,5.440575958711734,191.5211239251473,233.08188075904494,0.9150326797385621,16.389957463447775,0.021512558683753014,0.012302911264232535,-0.0020109659922001575,3148.1911566022304,334.0624678597278,-455.2439880371094,125.50804138183594,-7.304071426391602,33.33647918701172,-45.477054595947266,29.488571166992188,-8.01816177368164,43.922794342041016,4.209095478057861,-12.744791984558105,-1.0887573957443237,1.8810464143753052,2.069016933441162,68.91133117675781,9.807498931884766,10.387299537658691,9.428823471069336,17.436607360839844,9.23643970489502,7.845831871032715,8.6694917678833,4.742396831512451,5.662286758422852,4.252894878387451,3.9439117908477783,4.932371139526367
cold2,dataset\ไฟล์เสียง\cold\cold2.mp3,cold,0.005837017758021006,0.037805659324297865,20.076648407780272,8.24948838940723,202.69554102039797,2.897451349774782,193.74649219115264,231.73942791006385,0.8495575221238938,16.261752248978567,0.025493644177913666,0.017698391322968913,-0.0019858224556733297,2452.252566314746,728.8703308879167,-508.33172607421875,142.15615844726562,-4.1986613273620605,26.39482879638672,-33.27792739868164,28.76599884033203,-5.713313102722168,30.46605110168457,13.192998886108398,-14.511178970336914,1.4083970785140991,-0.23998357355594635,6.007411479949951,82.30760955810547,22.11568832397461,13.697396278381348,9.132079124450684,19.001684188842773,8.14550495147705,7.456799030303955,9.430139541625977,6.930017471313477,8.61778450012207,3.7516424655914307,6.193850994110107,5.682586193084717
logitechFatigue1,dataset\ไฟล์เสียง\fatigue\logitechFatigue1.mp3,fatigue,0.009259541542332113,0.07956079331021933,9.909693797944268,8.790921393206181,202.8675143210153,25.430381263182344,105.64102395561046,251.2581146483697,0.8342749529190208,2.619712791595866,0.03284980356693268,0.008386475774859499,-0.0025631923046183225,1795.1209357306625,433.11994361270473,-550.564697265625,204.5315704345703,-66.32231903076172,-14.210494995117188,-0.7768568396568298,-36.84154510498047,14.741839408874512,12.56966495513916,-20.917755126953125,-10.112776756286621,-7.9115519523620605,3.3749499320983887,4.268373489379883,74.33958435058594,41.781150817871094,21.207744598388672,6.0790815353393555,5.304520606994629,15.34942626953125,4.9957146644592285,5.656551837921143,6.754878997802734,4.6120924949646,4.4723801612854,4.434182643890381,4.1942524909973145
logitechFatigue2,dataset\ไฟล์เสียง\fatigue\logitechFatigue2.mp3,fatigue,0.004678794990955047,0.07025414385518948,14.607742986618604,10.281821169938391,217.94031597234334,3.4108205549995954,211.28204791122093,237.15608026942812,0.9921996879875195,1.2864651225190293,0.026376718655228615,0.008489347808810303,-0.002311747678995524,1243.633814988904,107.44815852060357,-498.3848571777344,228.83917236328125,-55.72963333129883,-31.766263961791992,-12.000259399414062,-42.70716094970703,13.04434871673584,24.38080406188965,-17.458791732788086,-14.94017505645752,-8.194687843322754,-5.111186981201172,-5.172521591186523,23.594160079956055,12.460192680358887,10.90225887298584,7.1354546546936035,5.851653575897217,5.391568660736084,4.01324987411499,3.9488718509674072,4.01004695892334,3.370903968811035,3.5795881748199463,3.310636520385742,3.5402653217315674
logitechMorning1,dataset\ไฟล์เสียง\fatigue\logitechMorning1.mp3,fatigue,0.007542070695488109,0.11924796965300981,8.946989712116357,11.835993210357625,177.04521116265445,58.53422978696677,112.57112811964524,244.1052838549259,0.8173784977908689,0.5071421542281253,0.0373058021068573,0.010556508558514761,-0.0027086070341797077,1691.1958265491148,332.2854004826607,-497.45416259765625,234.97386169433594,-87.4461898803711,-18.66146469116211,-3.133756637573242,-58.85274124145508,13.054147720336914,26.781696319580078,-17.21180534362793,-5.7686052322387695,-11.3627347946167,-10.174860954284668,6.674173831939697,51.067535400390625,30.9061336517334,19.685182571411133,6.843559741973877,5.546382427215576,11.625911712646484,4.88209867477417,6.044147491455078,5.41975212097168,4.3274054527282715,4.393686294555664,4.786496639251709,4.058956623077393
maonoFatigue1,dataset\ไฟล์เสียง\fatigue\maonoFatigue1.mp3,fatigue,0.012588141160317128,0.05523713040803704,11.646702061056196,9.20530158571411,203.87194350656253,31.91653640954394,103.82617439498627,229.0776735576574,0.7843450479233227,7.253851645572878,0.02756747417151928,0.010439731259089573,-0.002502417650998464,3639.263406796807,721.2565841432714,-486.24676513671875,136.38356018066406,-27.390235900878906,30.282291412353516,-41.82543182373047,21.016921997070312,-20.875864028930664,46.66157913208008,-12.072921752929688,-11.667262077331543,7.207827568054199,6.579829216003418,-0.7543678283691406,82.24202728271484,22.14995002746582,18.822322845458984,9.131926536560059,22.357078552246094,4.441181182861328,9.878844261169434,12.652838706970215,7.499961853027344,7.880285739898682,4.786585807800293,4.215061664581299,4.456840991973877
maonoFatigue2,dataset\ไฟล์เสียง\fatigue\maonoFatigue2.mp3,fatigue,0.006248691405680606,0.03056412089737829,19.08313806330334,10.369985086639861,227.06463870579213,8.992242695541865,216.22053167995523,312.9293240034019,0.8945147679324894,9.659576728519193,0.020940562710165977,0.012165916849385418,-0.0022702791539306725,2358.737662863228,386.09613484053364,-404.97381591796875,145.74679565429688,-24.06431770324707,19.49488067626953,-45.134769439697266,6.65843391418457,-11.843244552612305,34.038970947265625,-12.376800537109375,-18.099321365356445,-2.7384259700775146,3.7201406955718994,-3.951528310775757,63.81882095336914,12.963335990905762,10.713448524475098,7.377573490142822,21.195899963378906,4.037272930145264,8.690650939941406,6.238234519958496,8.293722152709961,5.148680686950684,5.285120487213135,3.6916611194610596,5.99798059463501
maonoMorning1,dataset\ไฟล์เสียง\fatigue\maonoMorning1.mp3,fatigue,0.008608414057619388,0.06671800916244117,11.96933886600346,10.618459837771386,166.36809553550333,57.0547009060996,114.5388367788287,246.94165062806206,0.7751004016064257,7.4708217468140194,0.030324824154376984,0.01713351740486014,-0.002594090326672683,3077.5713734294523,482.99986767204206,-411.3536682128906,146.5140838623047,-31.120121002197266,35.55071258544922,-48.03264236450195,15.663911819458008,-15.591114044189453,40.492897033691406,-8.120895385742188,-6.432583332061768,-6.629740238189697,1.1002978086471558,3.332615375518799,86.76473999023438,25.013071060180664,15.335712432861328,10.126006126403809,21.530244827270508,5.759829998016357,7.192620277404785,10.128406524658203,7.441116809844971,6.847442150115967,6.384250640869141,5.624660015106201,4.712106227874756
Fhoarsed1,dataset\ไฟล์เสียง\hoarsed\Fhoarsed1.mp3,hoarsed,0.054974636956863776,0.09767388807624271,6.937883497790117,12.711152711847516,117.65310423762838,28.939466951027836,65.40639132514966,154.66751207845843,0.16253869969040247,8.936111939492491,0.06208190321922302,0.022602871356724567,-0.002655942714251329,1725.8073687636863,598.785020956147,-441.3492736816406,204.7868194580078,-18.586530685424805,17.962093353271484,-6.652838230133057,3.375110626220703,-21.155231475830078,15.15488052368164,-35.90481185913086,-14.216411590576172,12.12164306640625,-3.9486193656921387,16.78606414794922,75.8145751953125,38.65129852294922,19.23084831237793,10.459223747253418,8.103880882263184,7.4768195152282715,8.980533599853516,5.887075901031494,12.658763885498047,9.070721626281738,6.1986846923828125,8.378677368164062,5.638815402984619
Fhoarsed2,dataset\ไฟล์เสียง\hoarsed\Fhoarsed2.mp3,hoarsed,0.05316639080161853,0.09549825378758525,5.581435151971296,10.471840563160345,192.59837140856976,83.319874782434,66.16637698451642,298.79793764201077,0.15375854214123008,7.299268036372956,0.052521832287311554,0.0195073484628754,-0.0029175232509297613,1985.0915691471764,597.4035338266941,-417.17633056640625,196.05392456054688,-25.27761459350586,17.912485122680664,-10.889087677001953,-4.831933498382568,-18.651288986206055,27.44011116027832,-27.6064510345459,-13.26594066619873,14.964461326599121,-5.846069812774658,21.879243850708008,78.1045913696289,38.92387771606445,17.751970291137695,11.789003372192383,12.889616012573242,10.342794418334961,7.863395690917969,7.345239639282227,10.861119270324707,7.91782283782959,5.613506317138672,7.248900890350342,7.521886348724365
